age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,label,jailtime
69,1,0,1,0,-1.0,1,0
34,1,0,1,0,-1.0,0,10
24,1,0,1,4,-1.0,0,1
44,0,0,1,0,0.0,1,1
41,1,1,1,14,-1.0,0,6
43,1,0,1,3,-1.0,1,0
39,0,1,0,0,-1.0,1,2
21,1,1,1,1,428.0,0,0
27,1,1,1,0,-1.0,1,1
23,0,0,1,3,0.0,0,4
37,0,1,0,0,0.0,1,0
41,1,0,1,0,-1.0,1,0
47,1,1,0,1,-20.0,0,14
31,1,0,1,7,22.0,0,3
37,0,0,1,0,0.0,1,0
25,1,0,1,3,-1.0,1,1
31,1,1,1,6,-1.0,0,1
31,1,1,1,5,-1.0,0,1
64,1,0,1,13,-1.0,0,1
21,1,0,1,1,-1.0,0,3
27,0,1,1,0,0.0,0,0
21,1,1,0,0,-2.0,1,1
24,1,0,1,1,0.0,0,0
43,0,1,1,1,-1.0,1,1
32,0,0,1,0,-1.0,1,1
27,1,0,1,8,-1.0,0,17
36,1,1,0,3,53.0,1,0
26,1,0,1,5,-1.0,0,0
33,1,0,1,0,0.0,0,37
30,1,1,1,9,0.0,0,44
32,1,0,1,4,-1.0,0,1
55,1,1,1,0,-1.0,1,2
49,1,0,1,7,-1.0,0,3
26,0,1,1,6,81.0,1,12
33,0,1,0,4,-1.0,0,11
24,0,1,1,1,0.0,0,1
34,1,0,1,21,0.0,0,33
29,0,1,1,0,0.0,1,-1
21,1,0,0,2,-1.0,1,79
51,0,0,1,2,-1.0,1,1
29,0,1,1,2,-1.0,0,0
51,1,0,0,7,-1.0,1,1
29,1,0,1,0,0.0,0,0
25,0,1,1,9,-1.0,0,6
35,1,0,1,13,-1.0,0,0
49,0,1,1,0,0.0,1,0
34,0,0,1,4,-59.0,0,51
29,1,0,1,0,0.0,1,0
29,1,1,1,1,-24.0,0,0
28,1,0,0,0,-1.0,1,0
48,1,1,1,20,302.0,0,10
63,1,0,0,1,-219.0,1,8
31,1,0,1,15,-1.0,1,135
24,1,0,1,2,-1.0,0,1
30,0,0,1,0,0.0,1,23
49,0,0,1,4,-1.0,1,0
53,1,1,1,8,-13.0,1,13
35,1,0,1,5,-1.0,1,0
63,0,0,1,10,-38.0,0,35
27,1,0,1,15,-1.0,0,1
38,0,1,1,4,-1.0,0,1
22,1,0,1,1,-1.0,0,1
22,1,0,1,2,70.0,0,124
29,1,0,1,4,-1.0,0,18
62,0,0,1,0,0.0,1,-1
27,1,0,1,6,0.0,0,30
33,0,0,1,0,-1.0,1,1
56,0,0,0,0,0.0,1,3
45,1,0,1,6,-1.0,0,241
22,1,0,1,1,-1.0,1,1
39,0,0,1,1,-1.0,1,4
29,1,0,1,5,0.0,0,1
27,1,1,1,1,-1.0,0,14
40,1,0,1,2,-15.0,1,3
22,0,0,1,1,0.0,0,16
22,1,1,1,0,-1.0,1,57
26,1,0,0,1,-1.0,0,2
27,1,1,1,1,-43.0,0,19
32,1,0,1,0,-1.0,1,1
41,0,0,1,1,-1.0,1,1
30,0,0,1,8,-1.0,0,1
50,1,0,1,0,-1.0,0,0
25,1,0,1,14,-1.0,0,7
20,1,0,1,0,-1.0,0,1
22,1,0,1,2,0.0,0,30
23,0,0,1,2,137.0,0,0
35,0,0,0,1,-1.0,1,0
36,1,0,1,9,0.0,0,3
26,1,1,1,7,0.0,0,0
21,1,0,1,1,0.0,0,3
25,1,1,1,9,-1.0,0,0
20,1,1,0,0,-1.0,1,0
39,1,1,1,2,-2.0,0,-1
66,1,1,1,3,-64.0,1,30
54,0,1,0,0,0.0,1,0
44,0,0,0,0,-2.0,1,1
19,0,0,1,1,-10.0,0,9
24,1,0,1,1,-137.0,1,137
30,1,0,1,1,-1.0,1,0
39,1,1,0,0,-1.0,0,1
24,1,1,1,8,-1.0,0,12
30,1,1,1,0,-1.0,1,5
31,0,1,1,0,-1.0,1,38
39,1,1,0,1,-1.0,1,106
59,1,0,1,14,178.0,0,109
43,1,1,1,1,-30.0,1,1
21,1,0,1,3,-1.0,0,6
38,0,1,1,5,-1.0,0,2
34,1,1,1,0,0.0,1,14
33,1,0,1,5,0.0,0,0
37,1,0,1,3,0.0,1,1
42,1,1,1,1,0.0,0,0
41,1,0,1,10,0.0,0,176
22,1,0,1,0,-1.0,0,0
33,1,0,1,28,-1.0,0,1
31,0,0,1,1,-1.0,1,1
30,1,0,0,1,-1.0,1,1
31,1,1,1,13,-1.0,0,471
27,1,0,1,3,-1.0,0,0
56,1,0,1,8,67.0,1,79
52,0,1,1,3,-2.0,1,0
33,1,0,1,19,-1.0,0,0
64,0,1,0,2,-47.0,1,-1
22,1,1,1,4,-36.0,0,14
42,1,1,1,6,-4.0,1,-1
25,1,1,0,2,-1.0,1,3
30,0,1,1,1,-20.0,1,3
37,0,0,0,2,-1.0,1,1
28,0,1,1,0,-1.0,0,0
